level_0,index,Radiance,c2_1,c3_1,water_Reflectance_1,c2_2,c3_2,water_Reflectance_2,Mean_water_Reflectance,Standard_deviation_water
49,49,399.0,7.862106,6909078.0,104.7133,7.862106,6083827.0,92.1921,98.4527,8.853825428593005
50,50,400.0,8.06715,7115797.0,105.1289,8.06715,6269014.0,92.6074,98.86815,8.854037560627358
51,51,401.0,8.291021,7325777.0,105.3266,8.291021,6458990.0,92.8629,99.09475,8.813166788674774
52,52,402.0,8.523986,7534760.0,105.3778,8.523986,6649965.0,93.0078,99.1928,8.746910883277586
53,53,403.0,8.733883,7728399.0,105.5163,8.733883,6830971.0,93.2377,99.37700000000001,8.68228132347714
54,54,404.0,8.956874000000001,7931600.0,105.5876,8.956874000000001,7010928.0,93.3189,99.45325,8.675280966343392
55,55,405.0,9.197142999999999,8146536.0,105.5786,9.197142999999999,7193830.0,93.2612,99.4199,8.709717066587174
56,56,406.0,9.444132000000002,8358632.0,105.4997,9.444132000000002,7388915.0,93.2765,99.38810000000001,8.643107607799411
57,57,407.0,9.703795,8594471.0,105.5818,9.703795,7596021.0,93.3186,99.4502,8.671391879046867
58,58,408.0,9.978703,8859170.0,105.8477,9.978703,7818970.0,93.4089,99.6283,8.795559829823228
59,59,409.0,10.281139999999999,9154750.0,106.1502,10.281139999999999,8083446.0,93.7259,99.93805,8.785306781496024
60,60,410.0,10.60024,9464760.0,106.4281,10.60024,8363935.0,94.0516,100.23984999999999,8.751507077355312
61,61,411.0,10.9319,9781706.0,106.6442,10.9319,8650560.0,94.302,100.4731,8.7272533147606
62,62,412.0,11.29513,10121790.0,106.8043,11.29513,8970773.0,94.6578,100.73105,8.588872517682402
63,63,413.0,11.69014,10487160.0,106.9381,11.69014,9306271.0,94.9037,100.9209,8.509605847511391
64,64,414.0,12.11658,10878890.0,107.0673,12.11658,9643072.0,94.8823,100.9748,8.616096128758082
65,65,415.0,12.52657,11244110.0,107.0301,12.52657,9968564.0,94.88,100.95505,8.591418102094677
66,66,416.0,12.95528,11618560.0,106.9118,12.95528,10301450.0,94.8089,100.86035,8.55804266202267
67,67,417.0,13.44174,12037890.0,106.7639,13.44174,10661960.0,94.5711,100.6675,8.62161156165134
68,68,418.0,13.900529999999998,12464830.0,106.8865,13.900529999999998,11019730.0,94.5019,100.6942,8.75723464228291
69,69,419.0,14.3462,12893690.0,107.1246,14.3462,11377720.0,94.5325,100.82855,8.903959299379126
70,70,420.0,14.801470000000002,13319870.0,107.2726,14.801470000000002,11741870.0,94.5662,100.9194,8.984781604468749
71,71,421.0,15.22144,13708920.0,107.3692,15.22144,12082740.0,94.6298,100.99950000000001,9.008116128247906
72,72,422.0,15.62836,14084460.0,107.4412,15.62836,12418760.0,94.7273,101.08425,8.990084905327643
73,73,423.0,16.060470000000002,14487020.0,107.5308,16.060470000000002,12784860.0,94.8865,101.20865,8.940870273357064
74,74,424.0,16.4931,14889390.0,107.621,16.4931,13138040.0,94.9572,101.28909999999999,8.954658855590198
75,75,425.0,16.91927,15285770.0,107.7107,16.91927,13476870.0,94.9647,101.3377,9.01278303300374
76,76,426.0,17.32345,15664310.0,107.7995,17.32345,13805010.0,95.0099,101.40469999999999,9.043612888663462
77,77,427.0,17.7503,16063360.0,107.8847,17.7503,14143880.0,94.999,101.44184999999999,9.111565850335495
78,78,428.0,18.202,16487450.0,107.9826,18.202,14499350.0,94.9603,101.47145,9.20815663664558
79,79,429.0,18.65085,16924400.0,108.1685,18.65085,14873760.0,95.0622,101.61535,9.26755360626524
80,80,430.0,19.10288,17367580.0,108.3742,19.10288,15276770.0,95.3251,101.84965,9.227107098381374
81,81,431.0,19.564,17813330.0,108.5442,19.564,15700360.0,95.667,102.10560000000001,9.105555442695412
82,82,432.0,20.04467,18243980.0,108.5072,20.04467,16093180.0,95.7114,102.10929999999999,9.047996950706825
83,83,433.0,20.58761,18729220.0,108.4518,20.58761,16525720.0,95.6926,102.07220000000001,9.022116842515402
84,84,434.0,21.205270000000002,19289370.0,108.4343,21.205270000000002,17017880.0,95.6739,102.0541,9.022965370652814
85,85,435.0,21.83461,19859700.0,108.4272,21.83461,17522040.0,95.6647,102.04595,9.024450294893315
86,86,436.0,22.47256,20448030.0,108.471,22.47256,18049700.0,95.7411,102.10605000000001,9.001398613826632
87,87,437.0,23.11645,21053420.0,108.5684,23.11645,18598880.0,95.9064,102.23740000000001,8.953386063384059
88,88,438.0,23.79028,21668600.0,108.5756,23.79028,19127760.0,95.8508,102.2132,8.997792369242571
89,89,439.0,24.46644,22283450.0,108.5722,24.46644,19647810.0,95.7401,102.15615,9.073664926863895
90,90,440.0,25.13443,22892790.0,108.5819,25.13443,20164750.0,95.6434,102.11265,9.148901088382148
